2022-07-07 01:13:50 [DEBUG] TCP Server Start Up [Main]
2022-07-07 01:14:01 [DEBUG] Client Connected!
2022-07-07 01:14:58 [DEBUG] TCP Server Start Up [Main]
2022-07-07 01:15:06 [DEBUG] Client Connected!
2022-07-07 01:25:54 [DEBUG] Client Connected!
2022-07-07 01:26:28 [ERROR] ReadMsg: System.IO.IOException: Unable to read data from the transport connection: 遠端主機已強制關閉一個現存的連線。.
 ---> System.Net.Sockets.SocketException (10054): 遠端主機已強制關閉一個現存的連線。
   --- End of inner exception stack trace ---
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken)
   at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token)
   at System.Threading.Tasks.ValueTask`1.ValueTaskSourceAsTask.<>c.<.cctor>b__4_0(Object state)
--- End of stack trace from previous location ---
   at Network.NetClient.Read() in C:\Users\Keith\Documents\Project\C#\CSharp_ServerBase\GameServer\GameServer\Network\Client\NetClient.cs:line 54
2022-07-07 15:48:43 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:45 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:47 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:49 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:51 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:53 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:55 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:57 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:48:59 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:01 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:03 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:05 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:07 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:09 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:11 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:13 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:15 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:17 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:19 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:21 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:23 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:25 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:27 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:29 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:31 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:33 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:35 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:37 [DEBUG] Received Packet ID[Heartbeat]
2022-07-07 15:49:39 [DEBUG] Received Packet ID[Heartbeat]
